title,company,location,source,job_type,seniority,is_remote,country,tech_stack
Enablement Technical Lead,Consensys,Remote,web3.career,Executive/Lead,Lead,True,Remote,
SDET Intern Mobile and DeFi,Token Metrics,"Austin,TX,United States",web3.career,DeFi Engineer,Junior,False,USA,
Staff Protocol Engineer EVM,Avalabs,Remote,web3.career,Blockchain Developer,Senior,True,Remote,
DeFi Trader,Presto,South Korea,web3.career,DeFi Engineer,Mid,False,Other,
Smart Contract Engineer Data Science Associate,Fmr,"Boston,MA,United States",web3.career,Smart Contract Developer,Mid,False,USA,
Senior Smart Contract Backend Engineer,Yei Finance,Remote,web3.career,Smart Contract Developer,Senior,True,Remote,
DeFi Risk Engineer,Toogeza,Ukraine,web3.career,DeFi Engineer,Mid,False,UK,
Blockchain Developer,TechWish,United States,web3.career,Blockchain Developer,Mid,False,USA,
Engineering Manager SelfCustody,Anchorage Digital,United States,web3.career,Other,Mid,False,USA,
Full Stack Engineer Crypto,Joy Network,"New York,NY,United States",web3.career,Full Stack Developer,Mid,False,USA,
Founding Engineer,Paros,"New York,NY,United States",web3.career,Other,Mid,False,USA,
Crypto Production Engineer,Wormholefoundation,Remote,web3.career,Product Manager,Mid,True,Remote,
Data Engineer,Gsrmarkets,Remote,web3.career,Data/AI,Mid,True,Remote,
Junior HR Programs Specialist,Keyrock,"Brussels,Belgium",web3.career,Other,Junior,False,Other,
Engineering Manager,Cryptio,"London,United Kingdom",web3.career,Other,Mid,False,UK,
Systems Engineer Blockchain,Iftother,Remote,web3.career,Blockchain Developer,Mid,True,Remote,
Systems Engineer Blockchain,Logos,Remote,web3.career,Blockchain Developer,Mid,True,Remote,
Quality Engineer,Offchain Labs,Remote,web3.career,Other,Mid,True,Remote,
Crypto Production Engineer,Wormhole Foundation,Remote,web3.career,Product Manager,Mid,True,Remote,
Software Engineer Blockchain Data,Dune,"London,United Kingdom",web3.career,Blockchain Developer,Mid,False,UK,
Blockchain Architect Africa,ChainGPT,Remote,web3.career,Other,Mid,True,Remote,
Blockchain Architect Middle East,ChainGPT,Remote,web3.career,Other,Mid,True,Remote,
Blockchain Security Engineer,zeroShadow,Remote,web3.career,Blockchain Developer,Mid,True,Remote,
Crypto Quant Trader,TMGM,"Sydney,Australia",web3.career,Other,Mid,False,Other,
Software Engineer – Margin Trading,Solayer Labs,"Palo Alto,CA,United States",web3.career,Other,Mid,False,USA,
Blockchain Engineer,MLabs,"New York,NY,United States",web3.career,Blockchain Developer,Mid,False,USA,
