title,company,location,source,job_type,seniority,is_remote,country,tech_stack,cluster
Senior Product Designer,Bcbgroup,Remote,web3.career,Product Manager,Senior,True,Remote,[],0
Senior Legal Counsel,Bcbgroup,Remote,web3.career,Compliance/Legal,Senior,True,Remote,[],0
Fraud Strategy Lead,Bcbgroup,Remote,web3.career,Executive/Lead,Lead,True,Remote,[],0
Senior Account Manager,Bcbgroup,Remote,web3.career,Other,Senior,True,Remote,[],0
Sr. Staff Software Development Engineer,Zscaler,Remote,web3.career,Other,Senior,True,Remote,[],0
Sr. Staff Network Engineer,Zscaler,Remote,web3.career,Other,Senior,True,Remote,[],0
Staff Data Center Operations Engineer,Zscaler,Remote,web3.career,Data/AI,Senior,True,Remote,[],0
Staff Software Development Engineer Web proxy,Zscaler,Remote,web3.career,Other,Senior,True,Remote,[],0
Senior Staff Software Development Engineer,Zscaler,Remote,web3.career,Other,Senior,True,Remote,[],0
Principal System and Solution Test Engineer,Zscaler,Remote,web3.career,QA/Testing,Senior,True,Remote,[],0
Principal DevOps Engineer,Zscaler,Remote,web3.career,DevOps/Infrastructure,Senior,True,Remote,[],0
Senior Product Support Engineer,Zscaler,Remote,web3.career,Product Manager,Senior,True,Remote,[],0
Staff Solutions Architect,Layerzerolabs,Remote,web3.career,Other,Senior,True,Remote,[],0
Senior Software Engineer,Groma,"Boston,MA,United States",web3.career,Other,Senior,False,USA,[],3
Blockchain Engineer TON FunC,TAC,"Riga,Latvia",web3.career,Blockchain Developer,Mid,False,Other,[],0
Smart Contract Engineer,Gate,APAC-C1,web3.career,Smart Contract Developer,Mid,False,Other,[],0
SDET Mobile and DeFi,Token Metrics Inc.,"London,United Kingdom",web3.career,DeFi Engineer,Mid,False,UK,[],3
Engineering Manager Custody,Anchorage Digital,Brazil,web3.career,Other,Mid,False,Brazil,[],0
Software Engineer Backend Transactions Engine,Alchemy,Remote,web3.career,Backend Developer,Mid,True,Remote,[],0
Customer Product Engineer APAC,Alchemy,Remote,web3.career,Product Manager,Mid,True,Remote,[],0
Senior Software Engineer Stablecoins,Bitgo,Remote,web3.career,Other,Senior,True,Remote,[],0
Software Engineer Stablecoins,Bitgo,Remote,web3.career,Other,Mid,True,Remote,[],0
Senior Smart Contract Backend Developer Solidity TypeScript,Ghaf Group,Remote,web3.career,Smart Contract Developer,Senior,True,Remote,"['solidity', 'typescript']",1
🤝Senior Technical Account Manager US,Crossmint,United States,web3.career,Other,Senior,False,USA,[],3
Web3 Full Stack Developer – TM Vault Mobile App,Token Metrics Inc.,"London,United Kingdom",web3.career,Blockchain Developer,Mid,False,UK,[],3
Software Engineer Blockchain Digital Assets,N3XT,Canada,web3.career,Blockchain Developer,Mid,False,Canada,[],0
Smart Contract Engineer,CoW DAO,Remote,web3.career,Smart Contract Developer,Mid,True,Remote,[],0
Digital Assets Strategy Lead,Nasdaq,"New York,NY,United States",web3.career,Executive/Lead,Lead,False,USA,[],3
Founding Engineer,Payna | YC W26,"San Francisco,CA,United States",web3.career,Other,Mid,False,USA,[],3
Monaco Trading Founding Engineer DeFi,Sei Labs,"New York,NY,United States",web3.career,DeFi Engineer,Mid,False,USA,[],3
Senior Web3 Software Engineer,Fuel Labs,Brazil,web3.career,Blockchain Developer,Senior,False,Brazil,[],0
Senior Blockchain Technical Lead Digital Assets,Invesco,"New York,NY,United States",web3.career,Executive/Lead,Senior,False,USA,[],3
Founding General Manager: O2 Exchange,Fuel Labs,France,web3.career,Other,Mid,False,France,[],0
Web3 Blockchain Engineer – ERC4626 Vault Router,Token Metrics Inc.,"London,United Kingdom",web3.career,Blockchain Developer,Mid,False,UK,[],3
Technical Lead Wallets 100% remote,Tether,Remote,web3.career,Executive/Lead,Lead,True,Remote,[],0
Lead Technical Advisor,Trillion,Remote,web3.career,Executive/Lead,Lead,True,Remote,[],0
Developer Experience Account Abstraction Interop,Ethereum Foundation,United States,web3.career,Other,Mid,False,USA,[],3
Lead Security Engineer Cloud Security,Circle,United States,web3.career,Security/Auditor,Lead,False,USA,[],3
🤖Forward Deployed Engineer US Spain,Crossmint,Spain,web3.career,Other,Mid,False,Other,[],0
Blockchain Lead Security Analyst,Veridise,Remote,web3.career,Security/Auditor,Lead,True,Remote,[],0
Senior Blockchain Developer,Tact,"New York,NY,United States",web3.career,Blockchain Developer,Senior,False,USA,[],3
Founding Full Stack Engineer,Berkley Hunt,"New York,NY,United States",web3.career,Full Stack Developer,Mid,False,USA,[],3
Solidity Developer,Odiin.,"San Francisco,CA,United States",web3.career,Smart Contract Developer,Mid,False,USA,['solidity'],3
Blockchain Developer,Bright Mind Solutions LLC,United States,web3.career,Blockchain Developer,Mid,False,USA,[],3
Founding Engineer,Paena | YC W26,"San Francisco,CA,United States",web3.career,Other,Mid,False,USA,[],3
Senior Blockchain Engineer Solidity FR EN,Collective,Montreux Suisse,web3.career,Smart Contract Developer,Senior,False,Other,['solidity'],0
Web3 Full Stack Developer Global,Token Metrics Inc.,"London,United Kingdom",web3.career,Blockchain Developer,Mid,False,UK,[],3
Smart Contract Engineer Global Remote Non.US,Token Metrics Inc.,"London,United Kingdom",web3.career,Smart Contract Developer,Mid,False,UK,[],3
Senior Smart Contract Engineer Blockchain Developer,Kiln,"London,United Kingdom",web3.career,Smart Contract Developer,Senior,False,UK,[],3
Full Stack Engineer Web3 focused,Animoca Brands Limited,"Hong Kong,Hong Kong",web3.career,Blockchain Developer,Mid,False,Hong Kong,[],0
SDET Intern Mobile and DeFi,Token Metrics Inc.,"London,United Kingdom",web3.career,DeFi Engineer,Junior,False,UK,[],3
Developer Relations Engineer Crypto AI Global Remote Non.US,Token Metrics Inc.,Remote,web3.career,Data/AI,Mid,True,Remote,[],0
Site Reliability Engineer,Parity,Remote,web3.career,Other,Mid,True,Remote,[],0
Quantitative Developer Crypto Options,Numus,Remote,web3.career,Other,Mid,True,Remote,[],0
Rust Engineer,Layerzerolabs,"Vancouver,Canada",web3.career,Rust/Solana Developer,Mid,False,Canada,['rust'],0
Crypto Production Engineer,Jumpcrypto,Remote,web3.career,Product Manager,Mid,True,Remote,[],0
Quantitative Developer,Gsrmarkets,Remote,web3.career,Other,Mid,True,Remote,[],0
Quantitative Strategist,Gsrmarkets,Remote,web3.career,Other,Mid,True,Remote,[],0
Site Reliability Engineer,Gsrmarkets,Remote,web3.career,Other,Mid,True,Remote,[],0
Inmation Security Engineer Product,Aptoslabs,Remote,web3.career,Security/Auditor,Mid,True,Remote,[],0
Experienced Quantitative Trader,Kronosresearch,Remote,web3.career,Other,Mid,True,Remote,[],0
Senior Software Engineer Developer Experience,Bitgo,Remote,web3.career,Other,Senior,True,Remote,[],0
Senior Rust Engineer Guardis,Guardis,Remote,web3.career,Rust/Solana Developer,Senior,True,Remote,['rust'],0
Rust Blockchain Developer Solana,Everstake,Ukraine,web3.career,Rust/Solana Developer,Mid,False,UK,"['rust', 'solana']",2
Solutions Engineer,Rain,"New York,NY,United States",web3.career,Other,Mid,False,USA,[],3
Sr. Staff Software Engineer RUST Networking,Zscaler,Remote,web3.career,Rust/Solana Developer,Senior,True,Remote,['rust'],0
Protocol Engineer Contract Brazil,Nexus,Brazil,web3.career,Blockchain Developer,Mid,False,Brazil,[],0
Protocol Engineer Contract Argentina,Nexus,Argentina,web3.career,Blockchain Developer,Mid,False,Other,[],0
BackEnd Engineer Python,Bluecubeservices,Remote,web3.career,Backend Developer,Mid,True,Remote,['python'],0
Backend Engineer E3 Developer Experience,Bitgo,Remote,web3.career,Backend Developer,Mid,True,Remote,[],0
Senior Crypto Quant Trader,TMGM,"Singapore,Singapore",web3.career,Other,Senior,False,Singapore,[],3
Solana PERP DEX: Superis Labs Software Engineer Backend,Ergonia,Remote,web3.career,Rust/Solana Developer,Mid,True,Remote,['solana'],2
Senior Validator Engineer,Raiku,"London,United Kingdom",web3.career,Other,Senior,False,UK,[],3
Senior Software Engineer Identity,Dfinity,Remote,web3.career,Other,Senior,True,Remote,[],0
Backend Engineer E2 Developer Experience,Bitgo,Remote,web3.career,Backend Developer,Mid,True,Remote,[],0
Senior Software Engineer Hedging Pricing Systems,Gravity Team,Remote,web3.career,Other,Senior,True,Remote,[],0
Rust Software Engineer Remote FullTime [HR126],Smart Working Solutions,"Bangalore,India",web3.career,Rust/Solana Developer,Mid,False,India,['rust'],0
Senior Rust Software Engineer Remote FullTime [HR127],Smart Working Solutions,"Bangalore,India",web3.career,Rust/Solana Developer,Senior,False,India,['rust'],0
Senior Technical Account Manager,QuickNode,United States,web3.career,Other,Senior,False,USA,[],3
Blockchain Architect Europe,ChainGPT,Remote,web3.career,Other,Mid,True,Remote,[],0
VP Engineering,Genius,Remote,web3.career,Executive/Lead,Lead,True,Remote,[],0
